artist,album,song,date
The Roots,How I Got Over,Dear God 2.0 - feat. Monsters of Folk,09 Aug 2013 22:44
The Roots,How I Got Over,Right On - feat. Joanna Newsom & STS,09 Aug 2013 22:40
The National,Trouble Will Find Me,Hard to Find,06 Aug 2013 20:02
The National,Trouble Will Find Me,Pink Rabbits,06 Aug 2013 19:57
The National,Trouble Will Find Me,Humiliation,06 Aug 2013 19:52
The National,Trouble Will Find Me,I Need My Girl,06 Aug 2013 19:48
Run the Jewels,Run the Jewels,Banana Clipper (feat. Big Boi),06 Aug 2013 19:45
Run the Jewels,Run the Jewels,Run the Jewels,06 Aug 2013 19:42
Rich Kidz Future Chief Keef,,Ratchet,05 Aug 2013 17:30
Kid Ink Meek Mill Wale,,Bad Ass,05 Aug 2013 17:25
Drake,,Started from the Bottom,05 Aug 2013 17:22
Slim Thug,,Itching,05 Aug 2013 17:18
Ace Hood Future Rick Ross,,Bugatti,05 Aug 2013 17:13
Tyga Rick Ross,,Dope (Sparx Dirty Intro),05 Aug 2013 17:10
2 Chainz,,I'm Different,05 Aug 2013 17:06
Trinidad James,,All Gold Everything (Official Remix),05 Aug 2013 17:01
Pusha T Rick Ross,,Millions,05 Aug 2013 16:56
Ace Hood,,We On,05 Aug 2013 16:52
Birdman  French Montana Gudda,,Shoutout,05 Aug 2013 16:47
2 Chainz,,G.O.O.D. Morning (Europe Version),05 Aug 2013 16:44
Future French Montana,,Down & Out,05 Aug 2013 16:41
Chris Brown Problem,,Let The Blunt Go,05 Aug 2013 16:37
Slim Thug TI Bun B,,All Good,05 Aug 2013 16:32
Pusha T French Montana,,Doesn't Matter,05 Aug 2013 16:28
Pusha T,,Blocka,05 Aug 2013 16:16
Chief Keef Future Fredo Santana SD,,Dead Broke,05 Aug 2013 16:11
French Montana Rick Ross Diddy,,Shot Caller,05 Aug 2013 16:08
Rick Ross  Drake French Montana,,Stay Schemin,05 Aug 2013 16:03
Sy Ari Da Kid Ft. D Dash Lil Mook & Coach Rick (Prod. By Pyroman),,Notice,05 Aug 2013 15:54
Zilla,,Talk My Shit Ft Lil Mook,05 Aug 2013 15:50
Lil Mook,,On My Own,05 Aug 2013 15:46
NitoBeats,,Lil Mook Teach You How To Jugg (Feat Marty McFli) Co.Prod By Nito Beats,05 Aug 2013 15:42
Lil Mook Feat Doe B,,Justin Bieber (Prod. By Slash Major),05 Aug 2013 15:39
Rich Homie Quan Feat Lil Mook,,Im Connected,05 Aug 2013 15:36
Lil Pooh Ft Lil Mook,,Im Runnin (Prod By B. Wheezy),05 Aug 2013 15:33
Lil Mook Ft Scotty,,A Dream,05 Aug 2013 15:28
Rich Kidz,Southern smoke radio 5,Never Did,05 Aug 2013 15:17
Young Scooter,Married To The Streets,What U Want Me 2 Do,05 Aug 2013 15:13
Stuey Rock,Deez Hooks Aint Free,You The One,05 Aug 2013 15:10
Doe B,We On Top,Wasup,05 Aug 2013 15:07
Jose Guapo,Jose's World,Kickin Shit (Produced By Fki),05 Aug 2013 15:03
Young Thug,I Came from Nothing 2,Keep in Touch,05 Aug 2013 14:59
Rocko,,Maybe,05 Aug 2013 14:55
The National,Trouble Will Find Me,Fireproof,05 Aug 2013 14:28
The National,Trouble Will Find Me,Fireproof,05 Aug 2013 14:28
The National,Trouble Will Find Me,Fireproof,05 Aug 2013 14:28
The National,Trouble Will Find Me,Humiliation,05 Aug 2013 14:23
The National,Trouble Will Find Me,I Need My Girl,05 Aug 2013 14:19
The National,Trouble Will Find Me,Pink Rabbits,05 Aug 2013 14:14
The National,Trouble Will Find Me,Graceless,05 Aug 2013 14:10
The National,Trouble Will Find Me,Graceless,05 Aug 2013 14:10
The National,Trouble Will Find Me,Graceless,05 Aug 2013 14:10
The National,Trouble Will Find Me,Slipped,05 Aug 2013 14:05
The National,Trouble Will Find Me,This Is the Last Time,05 Aug 2013 14:01
The National,Trouble Will Find Me,This Is the Last Time,05 Aug 2013 14:01
The National,Trouble Will Find Me,This Is the Last Time,05 Aug 2013 14:01
The National,Trouble Will Find Me,This Is the Last Time,05 Aug 2013 14:00
The National,Trouble Will Find Me,This Is the Last Time,05 Aug 2013 14:00
The National,Trouble Will Find Me,Demons,05 Aug 2013 13:57
The National,Trouble Will Find Me,Don't Swallow the Cap,05 Aug 2013 13:52
The National,Trouble Will Find Me,Hard to Find,05 Aug 2013 13:48
The National,Trouble Will Find Me,Hard to Find,05 Aug 2013 13:48
The National,Trouble Will Find Me,Hard to Find,05 Aug 2013 13:48
The National,Trouble Will Find Me,Sea of Love,05 Aug 2013 13:44
The National,Trouble Will Find Me,Heavenfaced,05 Aug 2013 13:40
The National,Trouble Will Find Me,Heavenfaced,05 Aug 2013 13:40
Mount Kimbie,Cold Spring Fault Less Youth,Home Recording,31 Jul 2013 14:17
Mount Kimbie,Cold Spring Fault Less Youth,Break Well,31 Jul 2013 14:13
Mount Kimbie,Crooks & Lovers,Tunnelvision,31 Jul 2013 14:12
Mount Kimbie,Crooks & Lovers,Ruby,31 Jul 2013 14:07
Mount Kimbie,Cold Spring Fault Less Youth,So Many Times So Many Ways,31 Jul 2013 14:04
Mount Kimbie,Cold Spring Fault Less Youth,So Many Times So Many Ways,31 Jul 2013 14:03
Mount Kimbie,Cold Spring Fault Less Youth,So Many Times So Many Ways,31 Jul 2013 14:03
Mount Kimbie,Crooks & Lovers,Field,31 Jul 2013 14:00
Mount Kimbie,Cold Spring Fault Less Youth,Blood and Form,31 Jul 2013 13:58
Mount Kimbie,Cold Spring Fault Less Youth,Blood and Form,31 Jul 2013 13:57
Mount Kimbie,Crooks & Lovers,Mayor,31 Jul 2013 13:53
Mount Kimbie,Crooks & Lovers,Between Time,31 Jul 2013 13:51
Mount Kimbie,Carbonated,Carbonated (Peter Van Hoesen Remix),31 Jul 2013 13:45
Mount Kimbie,Cold Spring Fault Less Youth,Meter Pale Tone (feat. King Krule),31 Jul 2013 13:41
Mount Kimbie,Cold Spring Fault Less Youth,Fall Out,31 Jul 2013 13:39
Mount Kimbie,Cold Spring Fault Less Youth,Fall Out,31 Jul 2013 13:39
Mount Kimbie,Carbonated,Carbonated,31 Jul 2013 13:34
Mount Kimbie,Cold Spring Fault Less Youth,Slow,31 Jul 2013 13:31
Mount Kimbie,Carbonated,Flux,31 Jul 2013 13:26
Mount Kimbie,Crooks & Lovers,Would Know,31 Jul 2013 13:23
Mount Kimbie,Crooks & Lovers,Would Know,31 Jul 2013 13:23
#FACTSONLY Interview with JAY Z Part 2,,The Truth With Elliott Wilson,31 Jul 2013 1:13
Mayer Hawthorne,Where Does This Door Go,Her Favorite Song,30 Jul 2013 16:16
Mayer Hawthorne,Where Does This Door Go,Back Seat Lover,30 Jul 2013 16:12
Obey City,,Fallin',29 Jul 2013 20:56
LuckyMe Records,,Eclair Fifi on BBC Radio One,29 Jul 2013 20:51
Bear in Heaven,,Werewolf,29 Jul 2013 20:31
Bear in Heaven,,The Reflection of You,29 Jul 2013 20:27
Bear in Heaven,,Sinful Nature,29 Jul 2013 20:22
Nahko and Medicine for the People,,Budding Trees,29 Jul 2013 20:11
Run the Jewels,Run the Jewels,DDFH,29 Jul 2013 15:27
Run the Jewels,Run the Jewels,A Christmas Fucking Miracle,29 Jul 2013 15:23
Run the Jewels,Run the Jewels,A Christmas Fucking Miracle,29 Jul 2013 15:23
Run the Jewels,Run the Jewels,Twin Hype Back (feat. Prince Paul as Chest Rockwell),29 Jul 2013 15:20
Run the Jewels,Run the Jewels,Get It,29 Jul 2013 15:17
Porcelain Raft,Strange Weekend,Is It Too Deep For You?,29 Jul 2013 15:10
Bwana,Over & Done EP,Sleeping In,29 Jul 2013 15:04
OffBeatKid,Reminiscences,Flirtation,29 Jul 2013 15:03
Fort Romeau,[via XLR8R],SW9,29 Jul 2013 14:59
Jesse Boykins III,Way Of A Wayfarer,Light To Dark,29 Jul 2013 14:57
Balam Acab,Wander / Wonder,Apart,29 Jul 2013 14:55
Shigeto,,Ringleader,27 Jul 2013 19:07
Daedelus,,Doing It Right (Daedelus' Pacific Drift),27 Jul 2013 19:02
Letherette,,After Dawn,27 Jul 2013 19:00
Gold Panda,,We Work Nights,27 Jul 2013 19:00
Disclosure,,F for You (totally Enormous Extinct Dinosaurs Remix),27 Jul 2013 19:00
Jackson and his computerband,,Vista,27 Jul 2013 18:59
Giraffage,,All That Matters,27 Jul 2013 18:54
Billie Holiday,,My Man (Toro Y Moi Remix),27 Jul 2013 18:53
Shigeto,,Detroit Part 1,27 Jul 2013 18:48
Malcolm and Martin,,Movement Music,27 Jul 2013 18:45
Yu,,Corners (feat. EyeQ),27 Jul 2013 18:41
The Left,,Binoculars,27 Jul 2013 18:38
1982,,People Are Running,27 Jul 2013 18:35
HOMEBASE PRESENTS,,The Gentleman (ft. Recess),27 Jul 2013 18:32
Mello Music Group,,From The Top (Stik Figa & Oddisee),27 Jul 2013 18:28
Gangrene,,Not High Enough,27 Jul 2013 18:25
Mick Boogie + Peter Bjorn & John,,Stay This Way (f/ Big Pooh Phil Nash and Chaundon),27 Jul 2013 18:21
Diamond District,,Streets Won't Let Me Chill,27 Jul 2013 18:16
The ILLZ,,November Sky,27 Jul 2013 18:11
Hell Razah,,Halos (feat. Crooked I),27 Jul 2013 18:07
Tyler the Creator,,Yonkers,27 Jul 2013 18:02
Dr. Dre,,Rat-Tat-Tat-Tat,27 Jul 2013 17:58
Clipse,,Door Man,27 Jul 2013 17:53
Ski Beatz,,Go (Feat. Jim Jones Currensy),27 Jul 2013 17:50
Freddie Gibbs,,Str8 Killa No Filla (feat. Big Kill),27 Jul 2013 17:46
2Pac,,Hail Mary,27 Jul 2013 17:40
Reks,,Why Cry (Feat. Styles P),27 Jul 2013 17:37
Glasses Malone,,Respect Mah Gangsta,27 Jul 2013 17:33
The Notorious B.I.G.,,Gimme the Loot,27 Jul 2013 17:30
L.E.P Bogus Boys (ft. La Roux),,Goin' In For The Kill,27 Jul 2013 17:26
Blu,,Peace,27 Jul 2013 17:24
Sound Providers,,Night Steps,27 Jul 2013 17:19
Ras G,,95 Standard,27 Jul 2013 17:15
Jansport J,,MoveMeants,27 Jul 2013 17:13
Instituto Mexicano Del Sonido,,Mirando A Las Muchachas,27 Jul 2013 17:08
Yppah,,It's Not The Same,27 Jul 2013 17:05
Prefuse 73,,Perverted Undertone,27 Jul 2013 17:01
CunninLynguists,,Phantasmata,27 Jul 2013 16:59
Nobody,,Wake Up And Smell The Millennium,27 Jul 2013 16:56
Madlib,,J's Day Theme #3 (Support),27 Jul 2013 16:54
Mr. Scruff,,So Long,27 Jul 2013 16:49
Ta-ku,,Wake Up,27 Jul 2013 16:48
BeachesBeaches,,LAdy,27 Jul 2013 16:46
Depakote,,Chloe Sevigny,27 Jul 2013 16:43
Blu,,theRunAwaySlaveSong,27 Jul 2013 16:40
Aim,,Pier 57,27 Jul 2013 16:36
Oddisee,,The Riches (Instrumental),27 Jul 2013 16:35
Dela,,Kiss,27 Jul 2013 16:32
Jon Kennedy,,Tell Me How You Feel,27 Jul 2013 16:28
Onetalk,,Mr Hotness,27 Jul 2013 16:23
Koushik,,Homage,27 Jul 2013 16:22
Nobody,,The Coast is Clear (For Fireworks),27 Jul 2013 16:18
Wax Tailor,,Que Sera,27 Jul 2013 16:15
Quantic,,Quantic - The River,27 Jul 2013 16:09
J-Rocc,,Stay Fresh,27 Jul 2013 16:07
MF DOOM,,Licorice,27 Jul 2013 16:04
Gold Panda,,You,27 Jul 2013 16:00
Blue Sky Black Death,,Where Do We Go,27 Jul 2013 15:56
The Avalanches,,Electricity (Edit),27 Jul 2013 15:53
J Dilla,,Airworks,27 Jul 2013 15:51
Cut Chemist,,The Garden,27 Jul 2013 15:44
Freddie Joachim,,Waves,27 Jul 2013 15:41
Damu The Fudgemunk,,Brooklyn Flower,27 Jul 2013 15:35
Prince Paul,,Flattery,27 Jul 2013 15:33
Mr. Chop,,I Got A Love,27 Jul 2013 15:27
Metaform,,Urban Velvet,27 Jul 2013 15:25
Bonobo,,Ketto,27 Jul 2013 15:20
Joe Beats,,Yap In My Pillow,27 Jul 2013 15:17
J-Rocc,,Chasing The Sun,27 Jul 2013 15:12
Paper Tiger,,Cigana,27 Jul 2013 15:09
Shigeto,Full Circle,A Close Keeper,26 Jul 2013 22:54
Shigeto,Full Circle,Children At Midnight,26 Jul 2013 22:52
Shigeto,Full Circle,Children At Midnight,26 Jul 2013 22:51
Shigeto,Full Circle,Children At Midnight,26 Jul 2013 22:49
Shigeto,Full Circle,Children At Midnight,26 Jul 2013 22:47
Shigeto,Lineage,A Child's Mind,26 Jul 2013 22:42
Shigeto,Lineage,A Child's Mind,26 Jul 2013 22:42
Shigeto,Lineage,A Child's Mind,26 Jul 2013 22:42
Shigeto,Full Circle,Brown Eyed Girl,26 Jul 2013 22:38
Shigeto,What We Held On To EP,Bitter Sweet,26 Jul 2013 22:36
Shigeto,What We Held On To EP,Bitter Sweet,26 Jul 2013 22:36
Shigeto,What We Held On To EP,Bitter Sweet,26 Jul 2013 22:36
Shigeto,Lineage,Ann Arbor Part 3 & 4,26 Jul 2013 22:32
Shigeto,Full Circle,Ann Arbor Part 2,26 Jul 2013 22:29
Shigeto,Full Circle,Ann Arbor Part 1,26 Jul 2013 22:25
Shigeto,What We Held On To EP,After the Smoke,26 Jul 2013 22:22
Shigeto,What We Held On To EP,After the Smoke,26 Jul 2013 22:22
Shigeto,Lineage,Soaring,26 Jul 2013 22:18
Shigeto,Lineage,Soaring,26 Jul 2013 22:18
Shigeto,Lineage,Soaring,26 Jul 2013 22:18
Shigeto,Lineage,Soaring,26 Jul 2013 15:35
Shigeto,What We Held On To EP,Spring Textures,26 Jul 2013 15:32
Shigeto,Full Circle,So So Lovely,26 Jul 2013 15:29
Shigeto,What We Held On To EP,What We Held On To,26 Jul 2013 15:25
Shigeto,Full Circle,Sky Of The Revolution,26 Jul 2013 15:20
Shigeto,Full Circle,Relentless Drag,26 Jul 2013 15:15
Shigeto,Lineage,Please Stay,26 Jul 2013 15:12
Shigeto,Full Circle,Look At All The Smiling Faces,26 Jul 2013 15:07
J. Cole,Born Sinner (Deluxe Version),Niggaz Know,25 Jul 2013 17:45
J. Cole,Born Sinner (Deluxe Version),Runaway,25 Jul 2013 17:40
J. Cole,Born Sinner (Deluxe Version),Chaining Day,25 Jul 2013 17:35
J Cole/50 Cent/Bas,Born Sinner (Deluxe Version),New York Times,25 Jul 2013 17:30
J. Cole,Born Sinner (Deluxe Version),Miss America,25 Jul 2013 17:26
J Cole/@Fauntleroy,Born Sinner (Deluxe Version),Born Sinner,25 Jul 2013 17:23
J. Cole,Born Sinner (Deluxe Version),Rich Niggaz,25 Jul 2013 17:18
J. Cole,Born Sinner (Deluxe Version),Trouble,25 Jul 2013 17:13
J Cole/Jhene Aiko,Born Sinner (Deluxe Version),Sparks Will Fly,25 Jul 2013 17:09
J Cole/Miguel,Born Sinner (Deluxe Version),Power Trip,25 Jul 2013 17:05
J Cole/Miguel,Born Sinner (Deluxe Version),Power Trip,25 Jul 2013 16:58
CHLLNGR,Haven,out of your hands,25 Jul 2013 13:53
Teebs,Collections 01,Verbena Tea with Rebekah Raff,25 Jul 2013 13:48
Son Lux,We Are Rising,Flickers,25 Jul 2013 13:43
Shlohmo,Bad Vibes,Seriously,25 Jul 2013 13:40
Bwana,Over & Done EP,It Ain't Over Til It's Done,25 Jul 2013 13:32
Bwana,Over & Done EP,It Ain't Over Til It's Done,25 Jul 2013 13:32
XXYYXX,XXYYXX,About You,25 Jul 2013 13:28
A Tribe Called Quest,Midnight Marauders,8 Million Stories,24 Jul 2013 19:55
A Tribe Called Quest,Midnight Marauders,Oh My God,24 Jul 2013 19:51
A Tribe Called Quest,Midnight Marauders,Electric Relaxation,24 Jul 2013 19:47
A Tribe Called Quest,Midnight Marauders,Award Tour,24 Jul 2013 19:43
A Tribe Called Quest,Midnight Marauders,Steve Biko (Stir It Up),24 Jul 2013 19:40
A Tribe Called Quest,Midnight Marauders,Sucka Nigga,24 Jul 2013 19:36
A Tribe Called Quest,Midnight Marauders,Keep It Rollin',24 Jul 2013 19:33
A Tribe Called Quest,Midnight Marauders,God Lives Through,24 Jul 2013 19:29
A Tribe Called Quest,Midnight Marauders,Lyrics to Go,24 Jul 2013 19:25
A Tribe Called Quest,Midnight Marauders,Midnight Marauders Tour Guide,24 Jul 2013 19:24
J. Cole,Born Sinner (Deluxe Version),Crooked Smile,24 Jul 2013 18:44
J. Cole,Born Sinner (Deluxe Version),Niggaz Know,24 Jul 2013 18:40
J. Cole,Born Sinner (Deluxe Version),Miss America,24 Jul 2013 18:36
J Cole/50 Cent/Bas,Born Sinner (Deluxe Version),New York Times,24 Jul 2013 18:32
J. Cole,Born Sinner (Deluxe Version),Trouble,24 Jul 2013 18:28
J. Cole,Born Sinner (Deluxe Version),Chaining Day,24 Jul 2013 18:23
J Cole/@Fauntleroy,Born Sinner (Deluxe Version),Born Sinner,24 Jul 2013 18:19
J. Cole,Born Sinner (Deluxe Version),Mo Money (Interlude),24 Jul 2013 18:18
J. Cole,Born Sinner (Deluxe Version),Where's Jermaine? (Skit),24 Jul 2013 18:17
J. Cole,Born Sinner (Deluxe Version),Let Nas Down,24 Jul 2013 18:13
J. Cole,Born Sinner (Deluxe Version),Ain't That Some Shit (Interlude),24 Jul 2013 18:10
J. Cole,Born Sinner (Deluxe Version),Villuminati,24 Jul 2013 18:05
Shigeto,Lineage,Huron River Drive,24 Jul 2013 17:48
Shigeto,Lineage,Huron River Drive,24 Jul 2013 17:48
Shigeto,Lineage,Huron River Drive,24 Jul 2013 17:48
Shigeto,Lineage,Huron River Drive,24 Jul 2013 17:48
Shigeto,Lineage,Huron River Drive,24 Jul 2013 14:12
Shigeto,What We Held On To EP,Bitter Sweet,24 Jul 2013 14:10
Shigeto,Full Circle,Escape From The Incubator,24 Jul 2013 14:06
Shigeto,Lineage,Field Trip,24 Jul 2013 14:02
Shigeto,Full Circle,Relentless Drag,24 Jul 2013 13:58
Shigeto,What We Held On To EP,After the Smoke,24 Jul 2013 13:52
Kidkanevil,Back of Man I'm A Scientist,Gotta Be Fresh,24 Jul 2013 13:51
Kidkanevil,Basho Basho,Lantern 1,24 Jul 2013 13:49
Kidkanevil,Basho Basho,When Doves Bounce,24 Jul 2013 13:45
Mount Kimbie,Carbonated,Flux,24 Jul 2013 13:42
Mount Kimbie,Carbonated,Carbonated,24 Jul 2013 13:38
Mount Kimbie,Carbonated,Carbonated,24 Jul 2013 13:37
Frank Ocean,channel ORANGE (Explicit Version),Not Just Money,22 Jul 2013 21:46
XXYYXX,XXYYXX,Never Leave,22 Jul 2013 21:42
Hodgy Beats,Untitled EP,In a Dream,22 Jul 2013 21:39
Blu,n o y o r k .,KeepUshInn,22 Jul 2013 21:36
Shigeto,Full Circle,Brown Eyed Girl,22 Jul 2013 21:32
J Dilla,The Shining Instrumentals,So Far To Go (Instrumental),22 Jul 2013 21:27
Toro y Moi,Anything in Return,Rose Quartz,22 Jul 2013 21:22
Japandroids,Celebration Rock,Adrenaline Nightshift,22 Jul 2013 21:18
Greyhounds,,What's On Your Mind,22 Jul 2013 21:14
Paper Route Gangstaz,Fear and Loathing in Hunts Vegas,Bama Gettin' Money (ft. Kristmas Mali Boi & Big P.O.P.E.),22 Jul 2013 21:09
Mount Kimbie,Cold Spring Fault Less Youth,Meter Pale Tone (feat. King Krule),22 Jul 2013 21:06
Daft Punk,Random Access Memories,Get Lucky (feat. Pharrell Williams),22 Jul 2013 21:00
Dirty Projectors,Swing Lo Magellan,Just from Chevron,22 Jul 2013 20:55
Thundercat,The Golden Age of Apocalypse,Seasons,22 Jul 2013 20:53
Dirty Projectors,Swing Lo Magellan,Dance for You,22 Jul 2013 20:50
The Roots,How I Got Over,Radio Daze - feat. Blu P.O.R.N & Dice Raw,22 Jul 2013 20:46
Lorn,Nothing Else,Army of Fear,22 Jul 2013 20:44
Lorn,Nothing Else,Army of Fear,22 Jul 2013 20:44
Shlohmo,Bad Vibes,Sink,22 Jul 2013 20:29
Blue Sky Black Death,NOIR,In The Quiet Absence Of God,22 Jul 2013 20:27
Mono/Poly,,CREW,22 Jul 2013 20:24
Madlib,Medicine Show No. 7: High Jazz,Pretty Eyes,22 Jul 2013 20:18
Zomby,With Love,Horrid,22 Jul 2013 20:14
Exile,Radio,Stay Tuned (Here),22 Jul 2013 20:10
A Tribe Called Quest,Midnight Marauders,Oh My God,22 Jul 2013 20:06
Thundercat,The Golden Age of Apocalypse,Mystery Machine (The Golden Age of Apocalypse),22 Jul 2013 20:04
Nas,Stillmatic,You're Da Man,22 Jul 2013 20:01
Homeboy Sandman,First of a Living Breed,For the Kids,22 Jul 2013 19:57
Lauryn Hill,The Miseducation of Lauryn Hill,Superstar,22 Jul 2013 19:52
The Books,Thought for Food,All Our Base Are Belong to Them,22 Jul 2013 19:48
Toro y Moi,Anything in Return,Never Matter,22 Jul 2013 19:43
Erykah Badu,Mama's Gun,Booty,22 Jul 2013 19:39
Nirvana,In Utero,Heart-Shaped Box,22 Jul 2013 19:35
Onra,Chinoiseries pt 2,A New Dynasty,22 Jul 2013 19:33
Oddisee,Odd Winter,Queue With No Coat,22 Jul 2013 19:30
AFX,Hangable Auto Bulb,Laughable Butane Bob,22 Jul 2013 19:26
L!STED,The Crystal Ship,The Morning,22 Jul 2013 19:24
Bonobo,The North Borders,Pieces (ft. Cornelia),22 Jul 2013 19:20
J Dilla,The Shining,So Far to Go,22 Jul 2013 19:14
Sly & The Family Stone,The Best of Sly & The Family Stone,Que Sera Sera (Whatever Will Be Will Be),22 Jul 2013 19:09
The Roots,Do You Want More?!!!??!,Datskat,22 Jul 2013 19:05
A$AP Rocky,LiveLoveA$AP,Wassup [Prod. By Clams Casino],22 Jul 2013 19:02
Dirty Projectors,Swing Lo Magellan,Swing Lo Magellan,22 Jul 2013 19:00
Zomby,With Love,I Saw Golden Light,22 Jul 2013 18:57
Home Brew,Home Brew,Space Feat. Esther Stephens,22 Jul 2013 18:52
The Roots,Illadelph Halflife,No Alibi,22 Jul 2013 18:47
Ghostface Killah,Supreme Clientele,Stay True,22 Jul 2013 18:46
One Be Lo,Masters Of The Universe,The KGB,22 Jul 2013 18:39
One Be Lo,Masters Of The Universe,The KGB,22 Jul 2013 18:39
Flying Lotus,Until the Quiet Comes,Until the Quiet Comes,22 Jul 2013 18:36
Ghostface Killah,Fishscale,Beauty Jackson,22 Jul 2013 18:34
Bibio,Silver Wilkinson,Mirroring All,22 Jul 2013 18:29
Gold Panda,Lucky Shiner,India Lately,22 Jul 2013 18:22
Madlib,Beat Konducta Vol. 6: Dil Withers Suite,Dill Withers Theme,22 Jul 2013 18:21
Common,Like Water for Chocolate,Heat,22 Jul 2013 18:18
The Roots,Things Fall Apart,Table of Contents Pts. 1 & 2,22 Jul 2013 18:14
Casey Veggies,Life Changes,Love = Hate Ulterior Motives (feat. BJ the Chicago Kid) (DatPiff Exclusive),22 Jul 2013 18:07
Lorn,Ask the Dust,Chhurch,22 Jul 2013 18:03
Lorn,Ask the Dust,Chhurch,22 Jul 2013 18:03
The Roots,Things Fall Apart,Act Too (Love Of My Life),22 Jul 2013 17:58
Fugees,The Score,Manifest/Outro,22 Jul 2013 17:52
Company Flow,Funcrusher Plus,The Fire In Which You Burn (Featuring J-Treds & The Brewin),22 Jul 2013 17:47
Onra,Chinoiseries pt 2,Raw Shit,22 Jul 2013 17:45
Insightful,Blossom Beautiful,Smoke,22 Jul 2013 17:42
Insightful,Blossom Beautiful,Smoke,22 Jul 2013 17:42
Lauryn Hill,MTV Unplugged,I Get Out,22 Jul 2013 17:37
chris△re,the p△st is nøw,greenwøn,22 Jul 2013 17:35
Bibio,Silver Wilkinson,You Won't Remember...,22 Jul 2013 17:32
Atlas Sound,Parallax,Amplifiers,22 Jul 2013 17:29
ScHoolboy Q,Habits & Contradictions,There He Go,22 Jul 2013 17:26
The Books,The Lemon of Pink,The Lemon of Pink,22 Jul 2013 17:21
Madlib,Beat Konducta Vol. 5: Dil Cosby Suite,J's Day Theme #3 (Support),22 Jul 2013 17:19
Erykah Badu,Baduizm,Afro (Freestyle skit),22 Jul 2013 17:17
Mos Def,Black On Both Sides,Mr. Nigga,22 Jul 2013 17:12
The Books,Thought for Food,Mikey Bass,22 Jul 2013 17:09
Teddy Pendergrass,Best Of,Turn off the Lights,22 Jul 2013 17:03
Flatbush ZOMBiES,D.R.U.G.S.,Mary Nothing Above Thee (Prod. By Erick Arc Elliott),22 Jul 2013 16:59
Oh No,Disrupted Ads,The Difference,22 Jul 2013 16:57
Oh No,Disrupted Ads,The Difference,22 Jul 2013 16:57
Fort Romeau,[via XLR8R],SW9,22 Jul 2013 16:52
She Keeps Bees,Nests,You Can Tell,22 Jul 2013 16:50
Jeremiah Jae,Raw Money Raps,Greetings ft. Tre,22 Jul 2013 16:47
The Books,Lost and Safe,None but Shining Hours,22 Jul 2013 16:44
A Tribe Called Quest,The Low End Theory,Vibes and Stuff,22 Jul 2013 16:40
The Roots,Illadelph Halflife,Section,22 Jul 2013 16:36
Freddie Joachim,Dust,Controlled By Your Love,22 Jul 2013 16:34
Analogue Monsta,Boom,Collection Plate,22 Jul 2013 16:31
Lauryn Hill,MTV Unplugged,Mr. Intentional,22 Jul 2013 16:24
Ghostface Killah,Fishscale,Dogs Of War (Feat. Raekwon Trife Cappadonna & Sun God),22 Jul 2013 16:20
Jeremiah Jae,Raw Money Raps,False Eyes,22 Jul 2013 16:16
Exile,Radio,It's Coming Down,22 Jul 2013 16:12
Wilco,The Whole Love,I Might,22 Jul 2013 16:08
Blue Sky Black Death,NOIR,Sky With Hand,22 Jul 2013 16:02
Oasis,(What's the Story) Morning Glory?,Wonderwall,22 Jul 2013 15:57
Erykah Badu,Baduizm,4 Leaf Clover,22 Jul 2013 15:52
Mount Kimbie,Crooks & Lovers,Between Time,22 Jul 2013 15:50
Home Brew,Last Week,Saturday,22 Jul 2013 15:48
Home Brew,Last Week,Saturday,22 Jul 2013 15:48
Ed Sheeran & Yelawolf,Slumdon Bridge,Tone,22 Jul 2013 15:46
Tinariwen,Tassili,YA MESSINAGH (feat. The Dirty Dozen Brass Band),22 Jul 2013 15:40
Insightful,Feather'd Son,Something You Never Said,22 Jul 2013 15:37
Oh No,Ohnomite,Stop (Interlude),22 Jul 2013 15:36
Atlas Sound,Parallax,Praying Man,22 Jul 2013 15:33
Atlas Sound,Parallax,Praying Man,22 Jul 2013 15:33
Purity Ring,Shrines,Crawlersout,22 Jul 2013 15:30
Mayer Hawthorne,Where Does This Door Go,Robot Love,22 Jul 2013 15:27
Captain Murphy,Duality,Children of the Atom (Prod. Madlib and Flying Lotus),22 Jul 2013 15:25
Viktor Vaughn,Vaudeville Villain,Lickupon,22 Jul 2013 15:22
Madlib,Beat Konducta Vol. 6: Dil Withers Suite,Never Front (Ears Up),22 Jul 2013 15:18
Analogue Monsta,Boom,4th Boom,22 Jul 2013 15:16
JJ DOOM,KEY TO THE KUFFS,Dawg Friendly,22 Jul 2013 15:14
Shigeto,What We Held On To EP,What We Held On To,22 Jul 2013 15:10
Japandroids,Celebration Rock,Younger Us,22 Jul 2013 15:06
Mello Music Group,Helpless Dreamer,Helpless Dreamer (Prod. By Apollo Brown),22 Jul 2013 15:02
Kanye West,Graduation,Flashing Lights (ft. Dwele),22 Jul 2013 14:58
Kendrick Lamar,good kid m.A.A.d city [Edited Version],Bitch Don't Kill My Vibe,22 Jul 2013 14:52
Recess,Recess,The Gentleman,22 Jul 2013 14:49
Recess,Recess,The Gentleman,22 Jul 2013 14:49
Tinariwen,Tassili,Walla Illa,22 Jul 2013 14:44
Oddisee,Odd Autumn,Tell The Truth (Feat. Nikki Jean),22 Jul 2013 14:41
